#This is the official release of the standard system response (instrument +
#atmosphere) for DES DR1 release (also known as Y3A2 Gold). The system response
#is defined in steps of 5 Angstrom, for DES-grizY filter bandpasses, from 3800
#Angstrom to 11000 Angstrom. The system responses (g/r/i/z/Y columns) includes
#the total throughput of the system (instrument+atmosphere). If you want the
#system throughput *without* the atmosphere, divide g/r/i/z/Y column by the atm
#column.
#
#Instrument throughput is defined as focal plane average from DECal scan for
#in-band wavelengths, and is defined as zero for out-of-band wavelengths. The
#in-band wavelengths are defined as (in Angstrom):
#
#g: 3800 - 5650
#r: 5400 - 7350
#i: 6750 - 8700
#z: 8250 - 10150
#Y: 9300 - 10700
#
#Atmospheric throughput is computed using ModTran 4 with the following 
#atmospheric parameters:
#
#Barometric Pressure 778 mb
#Precipitable Water Vapor 3 mm
#Ozone 263 Dobson
#Aerosol Optical Depth 0.03
#Aerosol Optical Index 1
#Airmass 1.2
#(Atmospheric throughput alone is available in the atm column)
#
#LAMBDA r atm
3800.0 0.00000 0.60928
3805.0 0.00000 0.61078
3810.0 0.00000 0.61227
3815.0 0.00000 0.61371
3820.0 0.00000 0.61520
3825.0 0.00000 0.61661
3830.0 0.00000 0.61805
3835.0 0.00000 0.61933
3840.0 0.00000 0.62064
3845.0 0.00000 0.62198
3850.0 0.00000 0.62333
3855.0 0.00000 0.62483
3860.0 0.00000 0.62623
3865.0 0.00000 0.62758
3870.0 0.00000 0.62886
3875.0 0.00000 0.63014
3880.0 0.00000 0.63148
3885.0 0.00000 0.63283
3890.0 0.00000 0.63408
3895.0 0.00000 0.63543
3900.0 0.00000 0.63677
3905.0 0.00000 0.63803
3910.0 0.00000 0.63937
3915.0 0.00000 0.64056
3920.0 0.00000 0.64190
3925.0 0.00000 0.64322
3930.0 0.00000 0.64461
3935.0 0.00000 0.64592
3940.0 0.00000 0.64727
3945.0 0.00000 0.64846
3950.0 0.00000 0.64956
3955.0 0.00000 0.65068
3960.0 0.00000 0.65200
3965.0 0.00000 0.65338
3970.0 0.00000 0.65455
3975.0 0.00000 0.65567
3980.0 0.00000 0.65679
3985.0 0.00000 0.65795
3990.0 0.00000 0.65934
3995.0 0.00000 0.66044
4000.0 0.00000 0.66156
4005.0 0.00000 0.66272
4010.0 0.00000 0.66404
4015.0 0.00000 0.66527
4020.0 0.00000 0.66663
4025.0 0.00000 0.66786
4030.0 0.00000 0.66903
4035.0 0.00000 0.67012
4040.0 0.00000 0.67122
4045.0 0.00000 0.67231
4050.0 0.00000 0.67341
4055.0 0.00000 0.67455
4060.0 0.00000 0.67584
4065.0 0.00000 0.67714
4070.0 0.00000 0.67828
4075.0 0.00000 0.67931
4080.0 0.00000 0.68011
4085.0 0.00000 0.68114
4090.0 0.00000 0.68221
4095.0 0.00000 0.68335
4100.0 0.00000 0.68435
4105.0 0.00000 0.68551
4110.0 0.00000 0.68672
4115.0 0.00000 0.68800
4120.0 0.00000 0.68914
4125.0 0.00000 0.69000
4130.0 0.00000 0.69080
4135.0 0.00000 0.69173
4140.0 0.00000 0.69292
4145.0 0.00000 0.69420
4150.0 0.00000 0.69541
4155.0 0.00000 0.69662
4160.0 0.00000 0.69767
4165.0 0.00000 0.69874
4170.0 0.00000 0.69965
4175.0 0.00000 0.70056
4180.0 0.00000 0.70156
4185.0 0.00000 0.70247
4190.0 0.00000 0.70354
4195.0 0.00000 0.70452
4200.0 0.00000 0.70543
4205.0 0.00000 0.70641
4210.0 0.00000 0.70739
4215.0 0.00000 0.70830
4220.0 0.00000 0.70921
4225.0 0.00000 0.71019
4230.0 0.00000 0.71117
4235.0 0.00000 0.71207
4240.0 0.00000 0.71284
4245.0 0.00000 0.71365
4250.0 0.00000 0.71485
4255.0 0.00000 0.71611
4260.0 0.00000 0.71715
4265.0 0.00000 0.71805
4270.0 0.00000 0.71882
4275.0 0.00000 0.71956
4280.0 0.00000 0.72045
4285.0 0.00000 0.72164
