wl,log_gf,species,E_lower,gamma_rad,gamma_stark,vdW
4.98008088553471e-5,-0.953000009059906,Fe I,4.076000213623047,4.89778883899247e7,1.949844428490234e-5,3.162277660168379e-8
4.981555577314351e-5,0.07000000029802322,Ni I,3.6059999465942383,1.0964780998322171e8,1.4454392628956644e-5,"(2.3550398577336473e-14, 0.2820000000000391)"
4.9831204930710054e-5,0.5699999928474426,Ti I,0.8479999899864197,8.912505467113453e7,8.912505467113453e-7,"(9.016918361358318e-15, 0.24500000000000455)"
4.983889597404408e-5,0.15600000321865082,Fe I,4.103000164031982,2.951211041237279e8,1.995263191254866e-5,3.0199517204020194e-8
4.984204281009158e-5,-0.9160000085830688,Na I,2.1040000915527344,3.257993257563704e7,0.0001393300549140245,0.0
4.9846407969826836e-5,-0.12200000137090683,Fe I,4.1539998054504395,2.951211041237279e8,2.6915337400578165e-5,3.090295432513592e-8
4.9852431570186045e-5,-0.006000000052154064,Fe I,4.103000164031982,2.951211041237279e8,1.995263191254866e-5,3.0199517204020194e-8
4.9855069270977866e-5,0.3100000023841858,Ni I,3.7960000038146973,1.949844428490234e8,2.6302684539632834e-6,3.090295432513592e-8
4.986643729129015e-5,-0.44699999690055847,Fe I,3.928999900817871,1.5488151224416983e8,2.6915337400578163e-6,"(2.07781162239996e-14, 0.2400000000000091)"
4.9869377072352285e-5,-1.3309999704360962,Fe I,2.865000009536743,1.513562312005786e8,3.890452816839944e-6,"(2.0358073443190984e-14, 0.2380000000000564)"
4.987613786861919e-5,-1.2899999618530273,Fe I,4.2179999351501465,2.951211041237279e8,1.8620870548831208e-5,"(2.6602709451212427e-14, 0.27899999999999636)"
4.990031829319843e-5,-0.028999999165534973,Nd I,0.2930000126361847,2.505735504814822e8,5.534421337962145e-6,0.0
4.990341711654829e-5,-0.8899999856948853,Fe I,4.1539998054504395,2.951211041237279e8,2.6302684539632837e-5,"(2.4194464174576354e-14, 0.27800000000002)"
4.990521959546391e-5,-0.1599999964237213,Ti I,1.9809999465942383,9.120109194638906e7,4.89778883899247e-6,"(2.2066247418479358e-14, 0.23099999999999454)"
4.992458474081321e-5,0.44999998807907104,Ti I,0.8360000252723694,8.70963704709875e7,8.912505467113453e-7,"(8.960912657250501e-15, 0.24500000000000455)"
4.9926605277679604e-5,-0.6700000166893005,Fe I,4.190999984741211,2.884031756450285e8,2.0417376756604133e-5,"(2.551059822111002e-14, 0.27800000000002)"
4.993233680057967e-5,-0.9890000224113464,Ca I,4.769000053405762,2.3442281975923815e8,0.00018197008186508767,7.244359600749906e-8
4.9932590868087154e-5,-1.809999942779541,Fe I,4.21999979019165,2.3988335511359206e8,2.0417376756604133e-5,"(2.6602709451212427e-14, 0.27899999999999636)"
4.9946960686279374e-5,0.3315720856189728,HMg,0.7440000176429749,5.737144794327242e8,0.0,0.0
4.995073068801377e-5,-1.3700000047683716,Fe I,4.209000110626221,1.0232935315766703e8,3.1622776601683795e-5,"(2.5986646706026458e-14, 0.27899999999999636)"
4.9951551906221804e-5,0.34357210993766785,HMg,0.7440000176429749,5.896794544495568e8,0.0,0.0
4.9955227882977725e-5,-3.058000087738037,Fe I,0.9150000214576721,1.737799912893992e7,7.079456289251887e-7,"(6.888701605261323e-15, 0.24500000000000455)"
