Title: 18 Sco: a solar twin rich in refractory and neutron-capture elements. 
       Implications for chemical tagging. 
Authors: Melendez J., Ramirez I., Karakas A.I., Yong D., Monroe T.R., Bedell M.,
         Bergemann M., Asplund M., Maia M.T., Bean J., do Nascimento J.-D., 
         Bazot M., Alves-Brito A., Freitas F.C., Castro M. 
Table: Adopted atomic data and equivalent widths
================================================================================
Byte-by-byte Description of file: apj497906t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label    Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm  Wave     Wavelength in Angstroms
  11- 14 F4.1   ---    Ion      Ion numeric identifier (1)
  16- 21 F6.4   eV     ExPot    Excitation potential
  23- 28 F6.3   [-]    log(gf)  Log of the oscillator strength times 
                                 the statistical weight
  31- 38 E8.2   ---    C6       Damping constant 
  40- 44 F5.1   10-13m EW-18S   The 18 Sco differential equivalent width (2)
  46- 51 F6.2   10-13m EW-Sun   Solar differential equivalent width (2)
--------------------------------------------------------------------------------
Note (1): Where the number before the digit is the atomic number and the number
          after the digit is the ionization level, e.g. 26.1 = Fe II.
Note (2): In units of milli-Angstroms.
--------------------------------------------------------------------------------
 5044.211 26.0 2.8512 -2.058  2.71e-31  74.8  74.3
 5054.642 26.0 3.640  -1.921  4.68e-32  40.9  40.5
 5127.359 26.0 0.915  -3.307  1.84e-32  97.5  96.1
 5127.679 26.0 0.052  -6.125  1.20e-32  18.9  19.1
 5198.711 26.0 2.223  -2.135  4.61e-32  99.3  98.1
 5225.525 26.0 0.1101 -4.789  1.23e-32  72.5  72.1
 5242.491 26.0 3.634  -0.967  4.95e-32  88.3  86.9
 5247.050 26.0 0.0872 -4.946  1.22e-32  67.4  66.9
 5250.208 26.0 0.1212 -4.938  1.23e-32  66.3  65.9
 5295.312 26.0 4.415  -1.49   6.54e-31  31.0  30.3
 5322.041 26.0 2.279  -2.80   4.29e-32  62.9  61.5
 5373.709 26.0 4.473  -0.77   7.04e-31  65.2  63.9
 5379.574 26.0 3.694  -1.514  5.02e-32  62.9  61.5
 5386.334 26.0 4.154  -1.74   5.27e-31  34.8  33.6
 5466.396 26.0 4.371  -0.565  4.40e-31  81.3  79.4
 5466.987 26.0 3.573  -2.23   2.80e+00  35.8  35.2
 5522.446 26.0 4.209  -1.31   3.02e-31  45.8  43.7
 5546.506 26.0 4.371  -1.18   3.91e-31  52.6  51.4
