element,wave_A,loggf,lower_state_eV,rad,stark,waals
Ti 1,4200.019,-2.491,1.879,1.8620871366628656e8,8.709635899560814e-7,-7.68
Nd 2,4200.022,-1.64,0.064,,,
W 1,4200.028,-0.99,2.037,,,
U 2,4200.086,-1.467,0.779,,,
Fe 1,4200.087,-1.13,3.884,5.011872336272725e7,8.709635899560814e-6,-7.42
Cr 1,4200.101,-1.035,3.079,2.1379620895022325e7,6.918309709189363e-7,-7.8
Co 1,4200.102,-1.012,4.072,2.0417379446695316e8,7.079457843841373e-5,-7.27
Fe 2,4200.161,-3.648,7.727,9.120108393559115e8,2.0892961308540407e-6,414.289
Cr 1,4200.169,-0.86,3.845,6.4565422903465495e7,7.079457843841374e-7,-7.78
V 1,4200.178,-2.29,0.275,2.3442288153199228e6,7.079457843841374e-7,297.257
Mo 1,4200.196,-1.706,3.168,,,
Mn 2,4200.27,-1.727,6.185,3.090295432513592e8,3.3884415613920274e-7,-7.87
Ti 2,4200.413,-3.567,2.061,2.238721138568338e8,3.4673685045253164e-7,-7.86
Ni 1,4200.454,-1.36,3.306,7.413102413009177e7,3.801893963205613e-6,787.23
Fe 1,4200.463,-3.374,4.154,2.4547089156850335e8,6.309573444801929e-5,-7.29
Fe 1,4200.498,-4.521,4.186,1.5135612484362072e8,1.0232929922807536e-5,-7.46
Fe 2,4200.517,-0.41,11.167,1.2589254117941661e8,1.584893192461114e-5,-7.34
Mo 1,4200.57,-1.723,2.276,,,
Fe 1,4200.626,-4.46,4.473,1.2589254117941661e8,0.00026915348039269167,-7.12
Si 2,4200.658,-0.889,12.525,8.128305161640995e8,0.00026915348039269167,-7.01
Mn 1,4200.666,-4.075,3.772,1.5135612484362071e7,1.6218100973589298e-6,-7.82
Ar 1,4200.675,-1.4,11.548,,2.6302679918953814e-5,
Ti 1,4200.744,-0.447,2.25,1.2302687708123812e8,1.8620871366628656e-6,-7.71
Fe 1,4200.778,-3.979,1.608,1.7782794100389227e8,8.709635899560814e-7,-7.76
V 1,4200.896,-2.91,0.017,812830.5161640996,8.128305161640995e-7,270.252
Si 2,4200.898,-0.733,12.526,8.128305161640995e8,0.00026915348039269167,-7.01
Mo 1,4200.909,-2.107,2.623,,,
Fe 1,4200.924,-0.827,3.397,2.3988329190194947e8,9.120108393559096e-6,814.285
Ti 1,4200.928,-2.573,2.175,7.585775750291836e7,1.9054607179632483e-6,-7.72
V 1,4200.975,-2.922,2.708,5.011872336272725e7,4.7863009232263804e-5,-7.39
Nb 1,4200.983,-1.85,0.74,,,
Ti 1,4201.0,-2.483,3.128,3.311311214825908e8,6.456542290346549e-5,-7.4
Dy 1,4201.02,-0.91,0.938,,,
Co 1,4201.06,-3.597,1.883,295120.9226666384,5.888436553555884e-7,-7.8
Ca 1,4201.066,-4.203,2.933,2.8183829312644494e8,0.0011481536214968829,-6.75
U 1,4201.126,-0.173,0.948,,,
Tm 2,4201.138,-0.36,3.283,,,
Cr 2,4201.143,-3.433,6.285,3.3884415613920206e8,3.311311214825908e-7,-7.87
Mo 1,4201.177,-1.825,2.68,,,
Sm 2,4201.21,-2.09,0.333,,,
Ce 2,4201.24,-0.35,0.904,,,
Er 2,4201.241,-1.19,2.155,,,
Ca 1,4201.247,-2.343,4.68,8.128305161640996e7,0.001174897554939529,-6.72
Co 1,4201.296,-0.648,4.072,2.0417379446695316e8,7.079457843841373e-5,-7.27
Dy 1,4201.3,0.61,1.355,,,
